lines_of_code,cyclomatic_complexity,num_functions,num_classes,comment_density,code_churn,num_developers,commit_frequency,avg_function_length,bug_fix_commits,past_defects,defect
1451,25,172,47,0.49,19,7,15,162,14,6,0
4783,22,134,55,0.29,364,9,271,172,1,46,1
1825,45,48,41,0.54,804,7,228,100,22,4,1
3431,5,71,10,0.31,774,13,86,187,59,31,1
4100,8,155,33,0.56,957,6,74,96,157,6,1
3510,41,178,47,0.02,702,5,92,28,176,37,1
1930,47,121,31,0.16,349,12,14,132,124,36,1
3885,27,83,22,0.18,303,6,284,173,1,22,1
4328,35,94,41,0.2,123,13,261,30,133,15,1
1894,1,86,60,0.24,68,2,105,150,164,23,1
3427,20,151,1,0.27,102,12,225,140,51,27,1
121,7,66,44,0.05,589,5,102,32,145,36,1
1726,45,29,49,0.05,13,5,31,167,186,16,1
1345,3,14,8,0.3,361,1,90,158,193,35,1
1093,42,73,35,0.16,2,7,265,46,83,44,1
2675,48,109,17,0.27,904,2,299,128,73,34,1
3092,9,90,75,0.23,893,3,139,190,9,30,1
864,47,29,63,0.51,685,6,13,175,48,5,1
2244,14,133,64,0.16,700,6,163,160,102,14,1
3550,19,187,59,0.29,432,14,269,49,179,39,1
359,27,93,33,0.39,449,3,43,42,105,14,1
2111,6,77,67,0.54,406,7,233,121,39,29,1
4277,7,146,69,0.07,769,11,144,26,174,13,1
1927,37,71,23,0.23,40,14,183,59,70,48,1
2852,26,189,31,0.1,924,7,212,122,158,38,1
2536,13,109,27,0.39,220,9,47,31,126,37,1
4885,37,112,73,0.4,343,10,281,173,143,6,1
3795,46,48,60,0.38,665,13,132,163,186,5,1
844,33,85,77,0.39,309,7,197,156,43,47,1
4064,33,44,22,0.09,238,2,35,37,27,15,1
4403,41,119,38,0.02,36,1,236,170,161,22,1
3457,9,166,91,0.18,140,1,279,123,39,2,1
2506,15,131,40,0.2,955,7,80,89,157,6,0
1901,5,118,0,0.25,756,7,261,96,83,41,1
1024,29,156,35,0.15,238,8,55,26,167,2,1
1097,7,182,29,0.59,215,11,237,79,57,27,1
4416,31,45,91,0.04,360,6,90,160,50,4,1
4287,34,86,14,0.54,723,10,97,30,58,16,1
3839,11,171,92,0.19,803,9,100,78,147,19,1
3071,42,107,38,0.06,120,13,73,180,44,22,1
4419,19,161,20,0.35,660,4,190,128,85,1,1
4079,5,114,32,0.1,200,9,199,79,146,46,1
514,23,141,80,0.46,590,14,66,133,47,6,1
337,47,41,26,0.33,617,5,196,117,48,32,1
3245,2,185,24,0.47,511,9,172,124,146,41,1
925,43,101,47,0.38,522,11,225,109,183,22,1
2042,4,133,44,0.55,512,12,135,122,95,29,1
2975,17,8,31,0.18,424,13,20,13,27,37,1
1170,31,194,56,0.08,932,6,52,112,78,34,1
496,30,44,78,0.4,866,5,181,78,25,41,1
2882,2,171,1,0.56,726,9,175,121,60,11,1
3618,24,105,10,0.37,104,11,25,184,55,20,1
2946,10,81,66,0.53,407,9,73,92,178,13,1
771,28,132,80,0.03,613,8,153,177,0,36,1
2213,43,19,24,0.49,737,14,147,117,178,37,1
2632,32,162,55,0.53,126,3,22,159,54,12,1
1401,33,190,41,0.39,644,4,196,71,47,41,1
4030,18,81,24,0.26,502,7,195,67,99,4,1
4552,24,89,35,0.18,144,1,92,77,157,42,1
3434,37,133,78,0.07,350,13,23,194,11,43,1
1775,30,116,55,0.58,527,13,104,190,113,26,1
743,5,81,94,0.12,469,4,225,8,73,41,1
3463,23,139,41,0.4,425,7,293,134,130,34,1
544,30,58,86,0.01,628,8,92,59,79,10,1
997,4,144,88,0.14,522,6,113,24,55,39,1
72,41,80,18,0.58,846,9,257,169,56,17,1
1178,24,198,99,0.38,940,2,269,113,68,10,0
607,3,82,44,0.37,529,8,16,39,59,43,1
1666,15,118,64,0.22,399,9,280,171,129,26,1
3780,46,3,79,0.02,827,5,92,66,43,0,1
1706,1,18,7,0.42,325,3,154,75,161,1,1
4223,10,116,27,0.42,750,9,239,59,123,3,1
856,45,110,23,0.53,891,2,78,79,113,4,1
3362,26,135,67,0.43,70,13,211,68,166,44,1
4913,12,47,63,0.22,16,11,198,74,90,42,1
503,1,143,86,0.31,149,6,231,150,69,34,1
3025,2,101,17,0.17,857,14,62,112,154,48,1
2374,11,62,14,0.39,64,3,35,15,182,5,0
1497,12,78,81,0.25,227,9,295,17,186,44,1
2611,28,23,97,0.08,486,6,130,179,146,31,1
2561,33,164,52,0.56,856,4,74,25,77,34,1
2921,42,145,42,0.15,131,8,36,183,15,36,1
412,3,22,47,0.56,692,11,99,58,142,25,1
3504,41,24,7,0.49,374,6,155,197,199,12,1
2848,49,155,75,0.11,49,2,8,83,54,23,1
4670,19,17,76,0.13,17,7,90,141,163,0,0
3503,18,151,87,0.14,933,13,77,140,73,49,1
3305,37,71,64,0.0,610,7,151,52,58,15,1
1267,28,128,74,0.34,842,13,171,145,22,3,1
1535,31,125,11,0.37,428,2,184,178,65,24,1
2153,7,129,15,0.51,424,6,85,77,126,2,1
2586,47,178,33,0.38,114,13,134,44,34,25,1
1905,38,63,15,0.24,142,13,285,105,153,35,1
4867,5,122,53,0.4,373,3,166,52,34,27,1
1257,19,50,20,0.49,215,10,258,50,104,39,1
1498,13,91,63,0.1,737,13,59,39,127,49,1
1557,39,127,37,0.01,331,10,13,199,148,4,1
1053,28,98,56,0.33,208,4,110,154,123,26,1
975,2,165,90,0.25,694,14,244,99,155,21,1
133,6,109,78,0.52,514,1,102,182,128,27,1
3792,15,127,15,0.39,668,3,87,130,180,47,1
3977,28,143,48,0.22,129,1,107,129,10,2,1
1592,37,110,86,0.35,521,11,162,45,97,7,1
1035,25,56,34,0.34,842,3,122,153,74,35,1
4281,32,56,24,0.29,983,7,130,168,19,36,1
958,37,196,91,0.41,84,6,50,142,35,45,1
2958,36,29,43,0.18,842,12,36,84,70,17,1
4735,30,43,23,0.28,441,4,294,27,186,11,1
2787,45,86,3,0.58,741,9,53,190,52,1,1
2636,24,148,69,0.18,466,7,242,156,97,46,1
1193,18,12,13,0.09,342,8,45,136,168,36,1
1381,1,124,66,0.01,237,2,143,83,47,14,1
3398,3,109,84,0.14,479,5,5,112,28,47,1
1603,7,14,33,0.03,348,3,269,196,106,7,1
2392,33,189,1,0.38,793,1,165,131,160,40,1
1856,21,100,6,0.08,944,14,44,172,82,16,1
2150,14,76,34,0.35,284,9,33,142,78,9,1
855,47,189,22,0.16,757,7,6,123,43,5,1
4197,48,9,83,0.09,393,7,27,34,59,33,1
2825,37,97,96,0.42,102,13,195,27,174,49,1
121,3,125,24,0.59,690,6,197,128,121,41,1
77,49,152,67,0.52,444,14,275,44,101,25,1
518,37,197,99,0.49,538,2,194,109,177,46,1
4033,25,136,6,0.46,428,9,205,9,15,20,1
813,33,79,17,0.22,995,4,38,56,197,37,1
1474,13,173,56,0.11,412,10,146,170,161,43,1
2298,33,181,53,0.07,440,8,7,157,179,10,1
3882,29,20,53,0.36,695,4,37,199,104,10,1
4965,19,58,15,0.46,468,2,149,142,145,12,1
4110,26,79,10,0.59,501,12,288,106,57,20,1
4120,38,70,76,0.3,334,4,235,92,44,34,1
1725,9,102,1,0.26,461,2,166,122,93,24,1
609,46,111,44,0.19,460,11,100,69,142,49,1
4524,30,161,51,0.24,290,9,284,59,137,0,1
3881,22,189,87,0.19,593,8,46,53,18,46,1
1968,43,139,39,0.23,323,8,64,92,190,20,1
128,4,131,99,0.45,557,7,99,12,39,1,1
4979,7,110,69,0.27,231,7,136,182,52,1,1
3697,18,49,39,0.37,998,8,223,6,153,18,1
1081,6,185,27,0.52,466,3,249,160,27,42,1
2122,29,67,24,0.43,683,14,281,61,95,18,1
4595,5,157,84,0.05,715,5,190,74,123,18,1
1534,6,120,75,0.46,687,2,95,102,183,44,1
2295,34,11,39,0.58,357,9,85,151,199,34,1
1600,34,101,77,0.46,407,7,270,173,100,44,1
4835,1,109,20,0.4,898,14,125,190,38,18,1
4732,18,183,84,0.21,69,12,89,140,166,1,1
1879,27,107,90,0.27,97,9,2,57,99,46,1
3801,10,50,50,0.34,58,10,220,103,47,2,1
4772,39,143,52,0.37,124,14,284,186,169,37,1
2081,2,132,88,0.06,980,8,93,158,159,4,1
4509,19,32,70,0.07,736,8,62,188,173,35,1
3906,27,180,10,0.02,22,4,109,35,87,43,1
2232,22,62,10,0.3,943,11,214,114,108,40,1
4519,10,98,89,0.12,791,8,269,42,129,46,1
2144,44,94,59,0.13,792,13,112,159,136,18,1
3953,27,41,24,0.27,294,7,4,161,4,44,1
3082,12,145,7,0.15,102,8,46,63,88,41,1
1598,15,133,25,0.6,529,12,178,116,0,46,1
417,1,72,7,0.36,104,8,114,43,82,5,1
114,38,126,77,0.09,373,14,146,78,106,9,1
3349,41,69,87,0.27,473,12,244,159,150,31,1
4899,24,81,9,0.53,635,12,85,106,178,2,0
2085,6,39,60,0.31,633,8,143,12,11,21,1
2913,29,32,47,0.48,889,2,165,62,91,15,1
1926,6,135,85,0.21,332,3,202,158,83,42,1
4901,38,86,78,0.03,491,10,167,63,9,28,1
2278,48,76,49,0.44,714,9,202,71,147,41,1
646,15,178,2,0.48,323,13,20,156,122,34,1
3656,8,88,98,0.52,567,5,214,11,130,31,1
2724,29,49,36,0.42,470,8,65,124,100,28,1
3939,2,171,92,0.22,159,7,229,178,89,29,1
3556,11,145,68,0.52,237,8,9,111,114,46,1
1884,9,199,90,0.46,832,8,35,84,33,29,1
1445,16,20,65,0.17,260,3,279,90,176,14,1
1636,24,45,85,0.44,180,9,127,107,42,20,1
161,34,198,20,0.19,404,14,68,8,54,35,1
502,43,176,73,0.51,988,7,98,54,14,38,1
2853,24,160,79,0.34,683,12,165,164,44,32,1
2681,49,124,69,0.02,706,8,209,59,57,18,1
2236,38,136,49,0.49,554,6,296,95,58,23,1
4398,38,44,37,0.04,787,10,10,128,69,43,1
2054,25,62,7,0.0,893,4,190,59,72,13,1
1509,41,108,45,0.23,262,9,121,86,103,36,1
1992,33,83,55,0.1,162,10,16,118,173,24,1
3543,44,83,94,0.14,623,14,24,55,166,8,1
1907,43,22,64,0.23,741,9,267,45,181,29,1
111,17,163,89,0.04,95,12,107,67,131,43,1
1544,7,156,96,0.22,601,8,89,190,74,7,1
1230,27,161,50,0.15,987,4,65,29,94,11,1
4951,36,6,25,0.09,387,4,273,63,139,42,1
2838,41,140,71,0.39,532,11,9,60,188,49,1
1925,19,97,75,0.44,505,6,115,8,87,28,1
2258,15,50,69,0.33,29,6,258,172,170,28,1
4686,6,121,17,0.25,535,4,53,45,74,25,1
4771,36,61,83,0.35,446,14,16,198,3,10,1
155,5,50,34,0.08,663,12,254,58,110,21,1
1204,45,76,44,0.35,251,2,4,152,168,38,1
3478,5,165,90,0.31,524,2,114,76,72,7,1
4137,2,116,38,0.09,20,7,97,77,29,21,1
1758,43,122,77,0.42,709,3,73,49,164,45,1
2873,18,195,95,0.43,286,13,41,25,131,15,1
3975,32,100,29,0.33,421,10,260,14,74,23,1
1958,47,61,50,0.15,979,6,287,109,114,14,1
2099,49,92,36,0.57,512,7,203,168,62,35,1
4514,29,11,43,0.48,421,3,5,115,40,47,1
1324,49,80,23,0.15,906,14,100,114,67,47,1
995,20,182,80,0.27,637,14,111,151,6,16,1
3954,19,67,24,0.16,650,4,147,63,66,8,1
2277,16,58,66,0.36,97,5,252,105,181,30,1
3846,11,49,37,0.55,399,9,90,13,113,1,0
342,28,99,15,0.29,760,2,55,21,42,6,1
4729,22,84,58,0.05,192,8,239,74,134,30,1
2272,27,171,41,0.46,476,7,102,109,96,47,1
4023,17,196,4,0.47,662,7,73,82,144,24,1
2541,8,93,4,0.51,413,3,164,53,92,6,1
2525,8,29,64,0.35,359,3,199,25,95,36,1
4910,23,142,24,0.54,892,3,151,32,168,38,1
3779,32,129,96,0.44,823,9,155,41,63,44,1
477,44,18,2,0.45,163,10,295,58,173,21,1
3022,15,15,6,0.22,983,5,276,27,158,1,0
156,27,116,68,0.34,968,3,288,182,199,28,1
3669,4,89,36,0.49,279,3,259,191,23,12,1
4804,40,13,47,0.18,253,4,57,157,43,34,1
3383,32,120,91,0.38,390,2,13,64,194,25,1
4042,47,24,88,0.56,603,10,203,48,41,40,1
1275,37,162,78,0.49,978,5,125,136,151,4,1
4054,10,139,94,0.43,72,6,172,160,44,36,1
4300,28,190,34,0.13,153,9,203,84,119,48,1
3418,32,47,12,0.29,611,11,246,26,114,16,1
945,32,25,18,0.29,548,2,215,189,67,30,1
3955,15,105,77,0.4,388,1,269,143,158,16,1
1670,6,160,39,0.2,546,1,199,26,154,28,1
3913,9,65,83,0.31,284,13,216,104,160,19,1
2342,38,29,63,0.03,457,3,258,138,77,4,1
1435,30,169,84,0.04,427,14,24,10,176,42,1
3949,41,22,14,0.13,950,7,20,27,191,12,1
3642,40,76,61,0.44,627,1,46,46,4,41,1
2483,16,129,92,0.19,747,13,37,134,158,31,1
2856,25,16,90,0.03,584,2,92,176,83,26,1
3433,10,144,26,0.37,454,12,272,191,41,15,1
1351,30,131,47,0.35,837,1,147,75,181,36,1
808,9,101,40,0.53,633,13,4,30,137,21,1
796,40,94,70,0.43,354,10,10,54,105,33,1
642,46,3,40,0.07,270,4,73,179,74,24,1
2936,7,180,44,0.45,616,2,248,195,136,41,1
4161,43,31,36,0.36,383,4,187,108,186,46,1
1118,48,35,46,0.23,656,2,257,124,135,17,1
3357,49,118,95,0.47,866,9,270,46,92,2,1
752,40,178,59,0.52,280,14,128,123,25,12,1
4758,12,113,99,0.2,151,1,256,184,143,46,1
154,17,23,34,0.42,282,4,260,65,189,34,1
1547,25,81,18,0.33,416,7,55,47,147,0,1
3883,47,65,91,0.05,788,13,6,90,13,40,1
445,7,118,6,0.46,399,7,173,136,197,33,1
3567,19,109,83,0.5,794,5,160,56,82,12,1
2703,17,59,45,0.44,206,5,149,145,177,22,1
3341,32,163,48,0.4,515,4,110,176,164,23,1
2060,23,63,23,0.34,458,9,25,176,182,2,1
3931,45,146,92,0.29,910,1,295,162,44,1,1
4996,32,10,13,0.43,982,14,44,90,125,21,1
2038,26,47,26,0.08,489,7,175,86,120,19,1
4587,8,123,98,0.0,717,7,58,131,118,27,1
1718,22,123,52,0.14,434,1,52,104,54,28,1
4812,46,33,68,0.0,935,12,69,100,93,40,1
1101,8,6,16,0.27,107,3,27,14,58,27,1
2891,46,21,75,0.34,378,3,85,147,5,24,1
4773,5,47,3,0.35,506,1,33,198,99,11,1
3634,12,158,76,0.48,272,11,35,85,35,1,1
397,27,199,6,0.53,781,14,238,85,191,21,1
1313,20,21,51,0.54,211,12,262,112,28,44,1
4715,11,111,52,0.01,889,13,284,9,49,44,1
2792,36,114,32,0.28,277,1,118,86,27,24,1
2123,2,173,53,0.22,115,12,60,191,14,12,1
3198,10,97,14,0.05,557,11,8,172,189,33,1
1401,42,118,18,0.18,605,14,50,161,174,36,1
2871,7,178,24,0.1,799,2,80,188,87,36,1
3877,12,131,17,0.51,104,11,188,71,136,42,1
719,16,76,81,0.54,402,3,218,135,99,10,1
4863,31,33,60,0.52,448,11,116,67,96,8,1
2696,27,71,94,0.01,499,7,251,18,94,15,1
316,32,58,61,0.49,918,1,2,91,124,9,1
1488,42,72,96,0.56,468,6,270,43,28,25,1
2743,40,47,44,0.51,868,3,56,165,173,22,1
1072,27,37,66,0.39,425,11,234,103,142,7,1
2087,25,182,2,0.58,121,8,78,54,8,11,1
614,40,35,60,0.41,549,8,267,162,126,27,1
1109,5,63,65,0.54,414,12,13,196,115,40,1
1474,4,7,50,0.3,154,6,276,188,186,5,1
4173,44,4,3,0.44,632,8,246,83,156,45,1
269,43,34,11,0.2,25,14,267,145,98,45,1
455,15,39,60,0.4,782,7,122,180,174,40,1
1687,13,33,70,0.48,624,12,269,194,124,30,1
2368,33,9,90,0.02,913,13,249,157,24,1,1
1809,5,106,44,0.15,89,9,111,192,142,32,1
1724,6,115,98,0.22,318,9,265,180,179,15,1
841,45,143,46,0.3,357,8,195,95,46,31,1
3632,25,92,9,0.42,752,12,107,54,184,0,1
1359,25,30,0,0.04,408,5,11,19,167,42,1
3883,10,113,94,0.07,589,14,103,89,155,24,1
4979,12,44,44,0.24,236,10,156,170,115,24,1
4462,3,23,55,0.2,900,5,235,81,42,3,1
1380,29,68,72,0.09,65,4,22,33,9,44,1
4496,29,57,88,0.47,717,8,242,155,197,49,1
560,43,173,92,0.14,674,1,49,167,0,2,1
2622,24,199,97,0.22,720,2,277,121,127,0,1
3979,24,18,51,0.39,616,11,247,12,52,13,1
541,25,107,51,0.38,289,2,107,23,74,9,0
1667,47,173,55,0.01,66,1,209,9,3,41,1
2106,49,49,67,0.4,365,4,124,6,27,41,1
1570,37,15,90,0.6,184,8,145,98,1,16,1
1633,5,175,97,0.05,725,14,170,64,8,30,1
1625,11,122,20,0.4,857,12,154,109,162,27,1
3996,40,133,0,0.38,736,12,274,104,110,29,1
1811,43,105,84,0.1,695,12,66,193,14,47,1
2041,22,100,62,0.5,13,6,248,136,173,1,0
3229,15,190,98,0.27,870,1,138,181,91,5,1
3376,9,135,32,0.22,225,6,92,36,141,37,1
1096,6,74,59,0.58,274,3,86,6,31,17,1
2942,26,193,7,0.27,207,6,252,186,98,44,1
2663,6,98,33,0.24,674,8,229,106,14,31,1
3942,32,87,95,0.01,857,4,187,144,97,21,1
4194,43,94,49,0.47,963,5,215,149,150,39,1
511,20,168,87,0.59,24,11,112,68,133,29,1
4481,35,83,26,0.4,60,1,179,35,127,9,1
1431,43,57,66,0.23,965,8,100,53,90,36,1
1195,3,161,95,0.01,552,6,35,96,171,33,1
3565,18,80,41,0.3,821,5,176,178,45,19,1
4504,35,162,58,0.38,504,2,201,103,41,7,1
242,10,158,52,0.23,446,5,90,120,109,19,1
3584,36,152,4,0.58,476,12,137,11,107,5,1
805,30,36,55,0.06,934,7,14,150,178,29,1
1734,26,16,36,0.31,464,9,104,145,19,24,1
2575,30,83,68,0.19,342,2,213,7,123,26,1
877,31,58,89,0.28,969,4,281,18,66,22,1
939,4,113,50,0.03,355,7,76,181,70,13,1
4798,24,3,87,0.58,350,8,122,195,4,35,1
2505,1,31,20,0.25,572,12,123,104,45,19,1
2383,26,3,83,0.03,487,7,146,67,19,37,1
4996,49,140,8,0.59,772,11,261,117,146,43,1
160,29,166,14,0.59,633,4,251,158,131,42,1
4765,38,174,2,0.32,754,6,1,47,42,11,1
842,36,94,90,0.42,78,7,59,103,161,9,1
4733,9,190,3,0.02,316,1,226,44,79,37,1
2693,42,70,17,0.13,154,2,174,31,12,29,1
3464,32,77,44,0.07,305,1,33,46,19,16,1
1359,37,53,30,0.38,828,11,208,151,158,40,1
346,40,34,59,0.53,535,7,158,108,152,6,1
1679,18,133,43,0.17,764,14,182,154,85,42,1
618,24,86,25,0.46,35,6,74,96,116,3,0
4977,40,120,84,0.04,433,10,228,91,78,48,1
4755,18,33,39,0.26,624,6,143,161,74,35,1
4161,39,27,20,0.06,532,10,1,97,137,9,1
121,8,140,41,0.27,593,2,56,41,151,26,1
4415,39,112,54,0.47,948,9,237,70,5,34,1
4432,11,18,98,0.15,578,5,209,5,156,42,1
115,43,175,89,0.35,965,9,71,69,80,4,1
929,35,170,48,0.07,110,10,207,33,94,15,1
117,24,89,95,0.2,872,1,248,37,131,15,1
1266,13,30,61,0.43,38,3,154,112,73,13,1
3077,31,37,48,0.46,714,7,220,73,163,37,1
3289,30,42,14,0.58,784,5,105,48,56,42,1
3530,29,16,27,0.16,617,11,204,158,2,36,1
557,42,27,57,0.46,474,14,129,140,172,16,1
3764,6,151,72,0.52,103,13,122,59,105,14,1
2934,3,198,68,0.24,557,8,270,184,182,38,1
1175,28,95,6,0.34,782,7,264,198,188,29,1
935,10,106,21,0.28,529,13,203,43,77,31,1
2891,34,78,56,0.39,671,6,107,99,87,43,1
3927,1,155,84,0.3,38,6,269,168,181,28,1
4920,12,17,82,0.33,896,3,143,18,12,34,1
2575,36,123,80,0.44,969,2,110,100,94,42,1
975,32,6,74,0.38,773,2,182,19,35,9,1
4265,11,83,94,0.15,647,9,236,57,160,8,0
1988,1,138,63,0.3,17,2,47,22,167,41,1
3864,48,120,7,0.07,348,13,77,92,131,45,1
3412,6,173,33,0.01,318,1,121,131,91,7,1
4633,27,184,66,0.24,408,11,1,114,86,29,1
3282,15,31,46,0.03,630,6,97,182,103,7,1
3794,10,168,59,0.24,358,7,111,69,28,20,1
3515,24,3,17,0.16,722,8,142,112,65,11,1
490,8,175,99,0.1,910,1,45,119,151,10,1
3661,17,92,38,0.19,731,5,192,121,172,35,1
511,24,112,84,0.39,872,3,223,98,69,13,1
661,13,152,3,0.54,563,3,131,80,67,0,1
3521,9,139,27,0.56,548,10,76,157,40,48,1
3213,6,31,99,0.39,540,1,76,188,148,5,1
55,29,47,90,0.27,445,9,39,35,38,35,1
4826,23,78,8,0.55,497,5,133,173,28,3,1
4020,22,171,49,0.22,342,5,87,89,60,47,1
2908,21,11,8,0.15,150,9,137,108,128,9,0
2656,17,108,27,0.21,880,6,229,111,36,30,1
148,34,56,82,0.12,416,7,58,49,114,49,1
575,26,6,56,0.51,398,12,173,172,162,39,1
1230,25,129,5,0.2,236,9,162,87,106,37,1
1739,48,76,39,0.48,168,14,226,16,21,6,1
1188,38,2,85,0.47,58,5,217,83,54,30,1
4541,3,164,98,0.3,408,8,124,47,53,17,1
4915,3,80,94,0.28,703,13,56,176,126,25,1
3121,14,169,48,0.56,869,14,36,80,118,47,1
2977,42,106,25,0.6,744,6,201,152,34,6,1
2842,10,193,87,0.59,34,13,167,53,12,24,1
4828,2,125,68,0.53,640,7,237,172,198,5,1
64,7,33,84,0.38,153,10,297,35,46,3,1
2465,14,66,52,0.15,536,5,289,185,124,38,1
2735,49,127,21,0.28,900,13,286,89,124,42,1
2950,17,106,87,0.3,604,12,208,180,133,34,1
1286,10,116,56,0.15,772,12,29,102,155,43,1
4150,35,73,98,0.52,822,6,112,89,198,27,1
3270,49,8,68,0.25,700,10,50,190,59,8,1
1657,45,131,14,0.37,493,1,183,22,177,12,1
3613,27,172,38,0.46,265,7,150,79,41,14,1
3347,48,139,37,0.43,818,1,67,88,60,17,1
2683,3,1,5,0.36,994,8,236,64,20,10,1
3940,47,176,18,0.26,645,8,140,107,20,11,1
4314,25,198,80,0.24,698,12,205,51,33,39,1
2858,7,170,1,0.19,301,14,91,104,168,21,1
841,13,173,50,0.21,950,5,244,136,6,1,0
1049,39,91,28,0.56,622,14,184,128,9,44,1
201,43,34,24,0.16,144,8,214,175,63,41,1
3113,46,107,47,0.55,666,4,246,72,104,34,1
4649,25,32,34,0.43,117,9,64,197,66,23,1
2141,43,61,44,0.18,688,5,46,65,31,30,1
4649,29,6,19,0.57,664,4,192,180,96,12,1
4132,19,104,78,0.59,92,10,259,69,141,17,1
4076,39,97,73,0.37,10,8,118,33,20,41,1
3027,22,190,95,0.14,985,1,12,16,120,10,1
892,2,35,52,0.24,945,7,138,159,179,34,1
4496,22,11,71,0.57,711,2,101,148,156,34,1
3843,35,142,96,0.26,412,8,160,104,144,31,1
2120,34,109,64,0.19,657,13,228,73,61,29,1
1709,5,45,25,0.45,362,8,70,27,181,22,1
647,27,26,4,0.32,207,5,100,99,4,40,1
2563,18,40,59,0.36,712,9,185,156,122,0,1
4185,48,162,53,0.38,961,3,125,135,37,4,1
4320,3,79,65,0.55,570,10,118,56,119,21,1
3653,47,92,63,0.31,96,10,85,91,181,1,1
1266,21,95,17,0.25,90,1,223,68,102,44,1
2341,24,66,32,0.57,654,6,57,174,90,47,1
4981,26,150,9,0.03,334,4,185,121,168,48,1
3861,20,169,5,0.49,729,1,207,65,63,2,0
981,13,59,38,0.26,522,14,115,36,173,35,1
2188,6,82,38,0.51,611,5,93,40,115,49,1
4052,26,160,76,0.29,865,3,171,187,121,9,1
3028,48,35,40,0.04,44,8,231,184,48,7,1
3942,43,111,42,0.1,187,2,282,195,85,25,1
4645,30,70,75,0.18,576,7,5,18,123,0,1
2968,14,132,62,0.07,51,7,19,41,100,14,1
2614,47,94,88,0.52,64,3,137,188,127,6,1
1813,37,101,1,0.14,766,8,168,114,20,24,1
2220,38,8,66,0.6,219,8,55,58,151,25,1
385,30,53,48,0.18,441,9,3,14,18,47,1
1226,15,85,4,0.27,680,3,277,112,39,24,1
3071,19,31,42,0.54,472,8,283,19,68,26,1
828,11,22,82,0.37,329,7,123,193,162,11,1
1235,20,142,1,0.53,737,13,31,66,34,5,1
3335,25,33,60,0.38,138,9,3,79,178,35,1
3497,38,144,50,0.18,475,10,206,170,108,45,1
4041,43,18,20,0.24,227,4,260,48,7,2,1
2520,30,144,12,0.26,395,1,260,97,37,39,1
988,40,30,21,0.12,650,2,46,93,105,19,1
4949,23,120,80,0.21,78,8,262,159,109,4,1
4056,44,108,25,0.58,774,13,102,107,31,0,1
1985,17,140,57,0.06,954,10,106,126,117,31,1
683,1,14,35,0.52,835,13,72,197,48,19,1
1303,42,104,67,0.45,717,13,294,15,59,10,1
1132,14,101,95,0.55,481,3,65,165,32,16,1
2193,39,134,34,0.48,717,9,29,59,199,1,1
1335,18,152,34,0.54,687,4,230,39,41,7,1
403,41,13,12,0.05,617,9,28,59,170,16,1
1935,16,180,51,0.24,29,11,293,115,121,36,1
1868,10,125,87,0.56,720,11,250,78,176,49,1
2570,44,81,80,0.13,934,2,188,8,5,18,1
4058,9,71,12,0.12,866,5,276,84,193,30,1
3072,14,101,66,0.58,603,7,276,50,129,31,1
2634,2,69,36,0.2,435,13,260,108,160,35,1
1597,42,98,75,0.2,911,6,208,135,190,26,1
4068,21,142,16,0.37,972,4,18,15,151,23,1
4254,42,127,80,0.38,509,2,158,21,110,48,1
1418,2,82,7,0.54,988,8,157,91,189,21,1
3387,6,91,77,0.02,296,9,90,48,7,9,1
1807,11,167,40,0.45,15,2,151,99,132,29,1
1567,41,176,56,0.31,162,10,72,162,2,22,1
4967,3,26,62,0.4,533,4,23,70,13,36,1
3534,11,28,13,0.31,220,14,25,168,192,10,1
3735,4,65,17,0.47,272,10,43,17,29,15,1
3102,15,13,95,0.46,736,10,130,74,52,38,1
2746,26,99,85,0.54,806,3,252,56,151,19,1
240,44,120,78,0.56,508,11,265,190,170,14,1
982,36,86,15,0.13,408,1,288,44,2,2,1
4287,15,173,28,0.59,288,12,142,79,161,9,1
3288,49,3,2,0.35,622,9,254,135,76,26,1
2265,22,50,45,0.42,967,13,259,67,50,4,0
615,37,85,51,0.4,467,13,275,190,122,0,1
1184,10,129,19,0.52,37,3,293,140,66,30,1
793,20,99,37,0.4,114,1,271,25,157,7,1
722,32,52,11,0.49,753,2,107,104,30,33,1
2961,9,166,34,0.22,103,8,240,55,25,5,1
580,31,10,17,0.52,16,14,189,111,133,12,1
3071,44,88,90,0.31,278,1,145,175,107,0,1
611,40,191,19,0.16,490,8,84,111,2,31,1
351,31,52,5,0.44,375,7,86,90,147,19,1
3817,28,8,52,0.1,100,9,172,73,189,14,1
4330,11,58,46,0.58,697,7,280,102,104,11,1
559,36,177,86,0.53,668,14,34,157,179,24,1
3495,41,132,94,0.12,100,10,125,49,185,22,1
2253,4,34,70,0.23,807,13,99,81,61,34,1
2884,14,160,3,0.23,346,6,270,110,86,19,1
844,46,25,82,0.07,587,6,147,94,55,49,1
2529,29,159,27,0.41,616,8,63,98,155,44,1
1573,28,138,63,0.45,209,10,95,179,33,49,1
4906,25,163,22,0.19,55,9,51,25,79,1,1
2244,23,168,86,0.31,42,11,123,26,142,32,1
2578,33,188,67,0.41,820,4,110,178,45,26,1
484,30,196,31,0.44,266,12,186,149,21,13,1
2088,9,120,48,0.57,772,5,81,193,198,35,1
1756,38,100,9,0.42,564,10,214,161,78,49,1
118,25,131,38,0.39,340,7,4,160,170,45,1
1954,18,115,91,0.33,941,3,83,168,135,21,1
